City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
4,Jamestown,US,76.64,clear sky,42.097,-79.2353,Hampton Inn & Suites Jamestown
6,Pacific Grove,US,76.55,scattered clouds,36.6177,-121.9166,Lovers Point Inn
7,Mangrol,IN,80.58,overcast clouds,21.1167,70.1167,Hotel The Royal Honours
8,Avarua,CK,77.05,scattered clouds,-21.2078,-159.775,Paradise Inn
11,Atuona,PF,78.15,broken clouds,-9.8,-139.0333,Villa Enata
12,Sao Filipe,CV,77.79,broken clouds,14.8961,-24.4956,Hotel Xaguate
16,Boueni,YT,75.18,clear sky,-12.9025,45.0761,The feet in water
23,Oriximina,BR,77.99,overcast clouds,-1.7656,-55.8661,Pousada Tia Amélia
25,Samarai,PG,82.08,broken clouds,-10.6167,150.6667,Nuli Sapi
34,Voh,NC,78.98,overcast clouds,-20.9667,164.7,Le gîte du Koniambo
35,Colon,PA,82.15,overcast clouds,9.3592,-79.9014,Sand Diamond Hotel
40,Dingle,PH,83.57,few clouds,10.9995,122.6711,SEGAYA PROPERTY
42,Majene,ID,79.7,overcast clouds,-3.5403,118.9707,Kost Putri RABBANI
46,Ambon,ID,80.74,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
47,Victoria,HK,89.65,overcast clouds,22.2855,114.1577,Mini Central
48,Bukachacha,RU,78.28,clear sky,52.9833,116.9167,
50,Albany,US,81.68,few clouds,42.6001,-73.9662,
51,Kapaa,US,84.18,moderate rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
54,Thompson,CA,77.16,smoke,55.7435,-97.8558,Burntwood Hotel
59,Nantucket,US,78.91,clear sky,41.2835,-70.0995,Jared Coffin House
65,Namatanai,PG,83.35,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
67,Gat,IL,82.4,clear sky,31.61,34.7642,OlusHome
71,Faanui,PF,77.7,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
72,Kununurra,AU,83.05,few clouds,-15.7667,128.7333,Hotel Kununurra
73,Hilo,US,84.27,scattered clouds,19.7297,-155.09,Hilo Hawaiian Hotel
74,Vaini,TO,77.16,few clouds,-21.2,-175.2,Keleti Beach Resort
75,The Valley,AI,82.26,clear sky,18.217,-63.0578,CeBlue Villas & Beach Resort
77,Bubaque,GW,77.88,moderate rain,11.2833,-15.8333,"Casa Dora, Bubaque"
82,Georgetown,MY,84.13,haze,5.4112,100.3354,Cititel Penang
86,Vicksburg,US,88.03,clear sky,32.3526,-90.8779,La Quinta Inn & Suites by Wyndham Vicksburg
88,Hithadhoo,MV,80.22,overcast clouds,-0.6,73.0833,Scoop Guest House
89,Lixourion,GR,75.96,clear sky,38.2019,20.4314,Hotel Summery
92,Madaba,JO,75.7,clear sky,31.5833,35.6667,مزرعة القيسي
97,Bethel,US,82.49,clear sky,41.3712,-73.414,Courtyard by Marriott Danbury
100,Oistins,BB,80.69,scattered clouds,13.0667,-59.5333,Butterfly Beach Hotel
101,San Patricio,US,89.19,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
104,Holland,US,82.45,clear sky,42.7875,-86.1089,Hampton Inn Holland
107,Kirakira,SB,84.52,scattered clouds,-10.4544,161.9205,SanBiz Lodge
110,Zhanaozen,KZ,86.4,clear sky,43.3,52.8,K.korabay 28A
112,Kendari,ID,80.64,moderate rain,-3.945,122.4989,Hotel Wixel
113,Half Moon Bay,US,82.89,mist,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
115,Bac Lieu,VN,82.87,overcast clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
116,Oranjestad,AW,80.38,clear sky,12.524,-70.027,Divi Village Golf & Beach Resort
120,Tombouctou,ML,86.61,overcast clouds,20.0,-3.0,
124,Dwarka,IN,81.82,overcast clouds,22.2394,68.9678,Hotel Narayan Avezika Comfort
130,Tebingtinggi,ID,76.62,overcast clouds,3.3285,99.1625,Hotel Malibou tebing tinggi
131,Canton,CN,88.61,scattered clouds,23.1167,113.25,Shangjiuwan Hotel
132,Umm Lajj,SA,84.76,overcast clouds,25.0213,37.2685,Moon light Furnished Units
133,Hatillo,PR,82.11,clear sky,18.4863,-66.8254,El Buen Hotel
134,Ugoofaaru,MV,81.1,overcast clouds,5.6667,73.0,Ungoofaaru Inn
135,Ewa Beach,US,89.55,clear sky,21.3156,-158.0072,Base Lodging
136,Tukrah,LY,75.92,clear sky,32.5341,20.5791,Lagrota restaurant
137,Salalah,OM,75.29,light intensity drizzle,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
143,Puerto Escondido,MX,82.85,broken clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
145,Lorengau,PG,83.28,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
146,Sheopur,IN,82.6,scattered clouds,25.6667,76.7,Shri Ram Dharmshala
148,Tahe,CN,78.17,clear sky,52.3333,124.7333,塔河宾馆
152,Wana,PK,80.02,clear sky,32.2989,69.5725,Rest House at Wana Camp
153,Kieta,PG,84.42,broken clouds,-6.2167,155.6333,Uruna Bay Retreat
154,Mandal,IN,79.25,moderate rain,25.45,74.5667,टी star
158,Tevaitoa,PF,77.43,few clouds,-16.7833,-151.5,Hôtel Raiatea Lodge
159,Phulji,PK,87.87,overcast clouds,26.8825,67.6807,Irfan hotel Phulji
160,Churapcha,RU,79.41,scattered clouds,62.0025,132.4325,"""Tusku"""
164,Alofi,NU,78.69,scattered clouds,-19.0595,-169.9187,Taloa Heights
171,Mingguang,CN,80.35,moderate rain,32.7802,117.9638,Yonghao Hotel
172,Katsuura,JP,87.82,light rain,35.1333,140.3,Katsuura Hotel Mikazuki
174,Mareeba,AU,75.49,few clouds,-17.0,145.4333,Trinity Plains Tourist Park
176,Butaritari,KI,82.11,light rain,3.0707,172.7902,Isles Sunset Lodge
180,Awjilah,LY,76.06,clear sky,29.1081,21.2869,المنزل
187,Muncar,ID,78.06,broken clouds,-8.4333,114.3333,Zaky Homestay
188,Superior,US,78.48,broken clouds,46.7208,-92.1041,"Holiday Inn Express & Suites Superior - Duluth Area, an IHG Hotel"
189,Jam Sahib,PK,84.6,scattered clouds,26.2958,68.6292,Al Madina
190,Jinchang,CN,77.11,clear sky,38.4953,102.1739,Mingshihui Jinchang International Hotel
198,Aktau,KZ,81.18,clear sky,43.65,51.2,Silk Way Hotel
200,Kahului,US,84.97,clear sky,20.8947,-156.47,Maui Seaside Hotel
202,Zhangye,CN,76.5,scattered clouds,38.9342,100.4517,Zhangye Lvzhou Holiday Inn
211,Saint-Georges,GD,79.12,scattered clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
212,Kijang,KR,85.73,overcast clouds,35.2442,129.2139,Samyang Beach Villa
214,Vaitape,PF,77.72,few clouds,-16.5167,-151.75,Conrad Bora Bora Nui
216,Road Town,VG,82.44,scattered clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
221,Rongcheng,CN,88.99,overcast clouds,30.634,117.8517,Shell Shandong Liaocheng Development District South Huangshan Road Hotel
222,Mamallapuram,IN,82.45,broken clouds,12.6264,80.1722,Radisson Blu Resort Temple Bay Mamallapuram
225,Belaguntha,IN,81.57,very heavy rain,19.8833,84.65,ଗୋପାଳ ସମାଜ ସଭା ଗୃହ
231,Sinnamary,GF,77.61,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
233,Ninghai,CN,87.24,overcast clouds,29.2892,121.4247,Kaiyuan New Century Hotel
234,Khairpur Nathan Shah,PK,88.05,overcast clouds,27.0936,67.7337,Shoukat Hussain Hotal
243,Nicoya,CR,75.83,overcast clouds,10.1483,-85.452,Las Cabinas Del Sueño
250,Swan River,CA,78.69,overcast clouds,52.1058,-101.2676,Super 8 by Wyndham Swan River MB
251,Trincomalee,LK,78.66,overcast clouds,8.5711,81.2335,Welcombe Hotel
257,Arlit,NE,89.26,overcast clouds,18.7369,7.3853,Case de Passage De la Prefecture
258,Nanakuli,US,89.55,clear sky,21.3906,-158.1547,Camp Pālehua
259,Palmer,US,81.25,scattered clouds,42.1584,-72.3287,Wedgewood Motel
265,Seaham,GB,76.32,overcast clouds,54.839,-1.3458,Seaham Hall
266,Buala,SB,84.97,few clouds,-8.145,159.5921,Maringe Lagoon Lodge
268,Kupang,ID,79.36,overcast clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
272,Isangel,VU,80.98,overcast clouds,-19.55,169.2667,Tanna Lodge
274,Padang,ID,75.25,overcast clouds,-0.9492,100.3543,Mercure Padang
276,Vanimo,PG,80.67,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
283,Tutoia,BR,77.9,overcast clouds,-2.7619,-42.2744,Pousada Guará's
284,Bambanglipuro,ID,79.68,clear sky,-7.95,110.2833,Puri Brata
287,Griffith,US,84.88,clear sky,41.5284,-87.4237,Apartment above Depot Bar
293,Ahuimanu,US,89.31,light rain,21.4447,-157.8378,Paradise Bay Resort
297,Hamilton,US,82.83,clear sky,39.1834,-84.5333,Six Acres Bed & Breakfast
302,Kavieng,PG,83.19,light rain,-2.5744,150.7967,Nusa Island Retreat
303,North Bend,US,75.24,mist,43.4065,-124.2243,Red Lion Hotel Coos Bay
305,Salinopolis,BR,78.44,overcast clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
306,Noshiro,JP,77.83,scattered clouds,40.2039,140.0242,Suigetsu
310,Poum,NC,76.28,overcast clouds,-20.2333,164.0167,
312,Saint Anthony,US,83.35,clear sky,45.0205,-93.218,"Holiday Inn Express Roseville-St. Paul, an IHG Hotel"
313,Mogadishu,SO,75.06,overcast clouds,2.0371,45.3438,Hotel Juba
314,Montpellier,FR,76.57,clear sky,43.6109,3.8772,Hôtel des Arts Comédie
325,Sal Rei,CV,75.63,overcast clouds,16.1833,-22.9167,Marine Club Beach Resort
328,Tucurui,BR,80.47,overcast clouds,-3.7661,-49.6725,BBB Rooms Centro Tucurui PA
329,Port Blair,IN,79.3,moderate rain,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
332,Derzhavinsk,KZ,75.79,overcast clouds,51.1,66.3167,Ooo.khim Baza
333,Tuy Hoa,VN,78.67,light rain,13.0833,109.3,CenDeluxe Hotel Tuy Hoa
334,Estelle,US,88.0,broken clouds,29.8458,-90.1067,Ohio
337,Champerico,GT,78.08,overcast clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
338,Nanpara,IN,79.27,overcast clouds,27.8667,81.5,Nanpara Hotel Residency
342,Guerrero Negro,MX,76.3,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
344,Cayenne,GF,76.08,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
345,Cuyo,PH,81.91,few clouds,10.8525,121.0086,Francia Inn
346,Marsh Harbour,BS,81.77,clear sky,26.5412,-77.0636,Abaco Beach Resort
347,Zeya,RU,76.98,overcast clouds,53.75,127.2667,Kapital Inn
348,Tiruchchendur,IN,82.69,moderate rain,8.4833,78.1167,"Hotel Udhayam International, Thiruchendur"
349,Soller,ES,80.04,clear sky,39.7662,2.7152,Hotel Marina & Wellness Spa
352,Kyra,RU,75.4,overcast clouds,49.5776,111.9753,
356,Nago,JP,87.46,broken clouds,26.5881,127.9761,Hotel Yugaf Inn Okinawa
364,Naze,JP,86.92,overcast clouds,28.3667,129.4833,Shishime Hotel
366,Pochutla,MX,77.23,scattered clouds,15.7432,-96.4661,Hotel Posada San Jose
372,Makakilo City,US,84.52,few clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
374,Nabire,ID,80.55,overcast clouds,-3.3667,135.4833,Hotel Nusantara I
377,Taybad,IR,80.49,clear sky,34.74,60.7756,لی پوش jean center
380,Ixtapa,MX,87.22,overcast clouds,20.7,-105.2,hotel la terminal
386,Sorong,ID,77.58,overcast clouds,-0.8833,131.25,Waigo Splash Hotel
389,Mecca,SA,89.33,overcast clouds,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
390,Ormara,PK,83.7,overcast clouds,25.2088,64.6357,Kenara Colony House for Rent
391,Kapit,MY,87.57,clear sky,2.0167,112.9333,Hotel Meligai Kapit
398,Tautira,PF,76.93,clear sky,-17.7333,-149.15,Pension Oaoa
399,Itarema,BR,78.31,scattered clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
400,Denpasar,ID,78.46,few clouds,-8.65,115.2167,OYO 3156 Hotel Warta 2
403,Bengkulu,ID,80.42,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
405,Mana,GF,76.48,scattered clouds,5.6592,-53.7767,LE SAMANA
409,Miri,MY,86.14,scattered clouds,4.4148,114.0089,"Mega Hotel, Miri"
410,San Francisco,US,76.15,few clouds,37.7749,-122.4194,Edwardian Hotel
412,Russell,US,81.68,clear sky,32.3502,-85.1999,Macs
415,Seoul,KR,83.59,mist,37.5683,126.9778,LOTTE HOTEL SEOUL
417,Luis Correia,BR,77.22,broken clouds,-2.8792,-41.6669,Hotel Amarração
418,Linfen,CN,75.2,broken clouds,36.0889,111.5189,Suoxing Hotel
425,Puerto Del Rosario,ES,76.75,clear sky,28.5004,-13.8627,Hotel JM Puerto del Rosario
426,Fare,PF,77.47,few clouds,-16.7,-151.0167,Maitai Lapita Village Huahine
427,Umm Kaddadah,SD,79.81,few clouds,13.6017,26.6876,
428,Charlottesville,US,77.09,scattered clouds,38.0293,-78.4767,Hilton Garden Inn Charlottesville
429,Poya,NC,77.49,overcast clouds,-21.35,165.15,
434,Libreville,GA,75.22,scattered clouds,0.3925,9.4537,Le Méridien Re-Ndama
435,Mangan,IN,78.08,overcast clouds,27.5167,88.5333,Hotel Mout View
436,Bilma,NE,88.47,clear sky,18.6853,12.9164,Expeditions Ténére voyages
442,Minab,IR,88.12,broken clouds,27.1467,57.0801,Bam campground
443,Gizo,SB,84.13,few clouds,-8.103,156.8419,Imagination Island
444,Tieli,CN,79.39,scattered clouds,46.95,128.05,Dynasty Hotel
449,Baculin,PH,84.97,broken clouds,7.4525,126.5842,Baculin Cove Beach Resort
451,Kodinar,IN,80.26,overcast clouds,20.7903,70.7031,residency of N.B vadhel
453,Antalya,TR,84.79,clear sky,36.7741,30.7178,
454,Kavaratti,IN,81.41,overcast clouds,10.5669,72.642,Green leaf
459,Nagato,JP,83.14,broken clouds,34.3833,131.2,いそう庵
462,Manggar,ID,83.14,scattered clouds,-2.8833,108.2667,Guest Hotel
472,Beyneu,KZ,86.05,clear sky,45.3167,55.2,NUR
473,Humaita,BR,75.96,clear sky,-7.5061,-63.0208,Corrêa Hotel
475,Dyersburg,US,87.94,scattered clouds,36.0345,-89.3856,Hampton Inn Dyersburg
476,Esso,RU,81.88,few clouds,55.9333,158.7,Paramushir Tur
479,Yerofey Pavlovich,RU,77.16,overcast clouds,53.9667,121.9667,lounges and warm parking
481,Ouegoa,NC,78.76,overcast clouds,-20.35,164.4333,
484,Jalu,LY,75.18,clear sky,29.0331,21.5482,صاحبة الفخامة
486,San Andres,CO,82.42,broken clouds,12.5847,-81.7006,Hotel Arena Blanca
488,Totness,SR,78.13,overcast clouds,5.8833,-56.3167,STAATS LOGEERGEBOUW TOTNESS
490,Bushehr,IR,89.69,haze,28.9684,50.8385,Yas Hotel
499,Coahuayana,MX,80.28,broken clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
501,Hami,CN,75.52,moderate rain,42.8,93.45,Laoyutang Resort
502,Kaka,TM,85.17,clear sky,37.3482,59.6143,
504,Anloga,GH,75.13,scattered clouds,5.7947,0.8973,Pin Drop Hotel
509,Artyom,AZ,77.67,clear sky,40.4723,50.333,Pir hos
511,Kuroiso,JP,81.43,overcast clouds,36.9667,140.05,HOTEL SOUMAYA
513,Partapur,IN,77.13,overcast clouds,23.6,74.1667,Hotel The Park
519,Akdepe,TM,80.69,clear sky,42.0551,59.3788,
520,Dhidhdhoo,MV,80.04,overcast clouds,6.8833,73.1,Dhidhoo beach
527,Sur,OM,83.39,scattered clouds,22.5667,59.5289,Sur Plaza Hotel
530,Banda Aceh,ID,83.68,overcast clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
535,Ranong,TH,81.99,light rain,9.9658,98.6348,Numsai Khaosuay Resort Ranong
537,Qandala,SO,88.65,overcast clouds,11.472,49.8728,
540,Tazmalt,DZ,79.43,clear sky,36.3868,4.3989,Hôtel Numédia
546,Kamaishi,JP,75.47,overcast clouds,39.2667,141.8833,Hotel Route Inn Kamaishi
553,Atar,MR,86.72,clear sky,20.5169,-13.0499,Oumou Elghoura
554,Bonthe,SL,76.1,overcast clouds,7.5264,-12.505,Bonthe Holiday Village
