City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Mataura,NZ,-46.1927,168.8643,46.47,76,100,3.67,overcast clouds
1,Fairbanks,US,64.8378,-147.7164,55.36,88,100,6.91,light rain
2,Rikitea,PF,-23.1203,-134.9692,74.23,76,6,8.63,clear sky
3,Grand-Santi,GF,4.25,-54.3833,72.75,98,100,2.68,overcast clouds
4,Jamestown,US,42.097,-79.2353,76.64,73,0,5.75,clear sky
5,Mar Del Plata,AR,-38.0023,-57.5575,49.08,69,4,13.0,clear sky
6,Pacific Grove,US,36.6177,-121.9166,76.55,83,40,8.05,scattered clouds
7,Mangrol,IN,21.1167,70.1167,80.58,85,96,16.13,overcast clouds
8,Avarua,CK,-21.2078,-159.775,77.05,61,40,6.91,scattered clouds
9,Severo-Kurilsk,RU,50.6789,156.125,51.42,97,100,17.52,light rain
10,Constitucion,CL,-35.3333,-72.4167,47.8,65,0,6.2,clear sky
11,Atuona,PF,-9.8,-139.0333,78.15,70,61,12.26,broken clouds
12,Sao Filipe,CV,14.8961,-24.4956,77.79,81,81,6.33,broken clouds
13,Mbala,ZM,-8.8402,31.3659,56.55,75,7,9.37,clear sky
14,Cabo San Lucas,MX,22.8909,-109.9124,92.61,71,74,9.55,broken clouds
15,Verkh-Suetka,RU,53.3,80.05,62.29,73,3,4.56,clear sky
16,Boueni,YT,-12.9025,45.0761,75.18,75,0,18.79,clear sky
17,Tatarsk,RU,55.219,75.9828,61.47,77,58,6.53,broken clouds
18,Yellowknife,CA,62.456,-114.3525,72.12,53,40,13.8,scattered clouds
19,Kodiak,US,57.79,-152.4072,52.16,91,100,5.17,light rain
20,Ushuaia,AR,-54.8,-68.3,33.64,96,100,5.82,overcast clouds
21,Bentiu,SS,9.2333,29.8333,69.66,96,100,2.82,light rain
22,Klyuchi,RU,52.2667,79.1667,65.46,58,54,6.2,broken clouds
23,Oriximina,BR,-1.7656,-55.8661,77.99,76,99,5.37,overcast clouds
24,Hovd,MN,48.0056,91.6419,59.22,48,98,2.3,overcast clouds
25,Samarai,PG,-10.6167,150.6667,82.08,73,81,6.13,broken clouds
26,Geraldton,AU,-28.7667,114.6,59.41,77,85,12.66,overcast clouds
27,Ginir,ET,7.1333,40.7,54.95,82,56,11.95,broken clouds
28,Port Elizabeth,ZA,-33.918,25.5701,53.89,97,75,10.36,light rain
29,Hofn,IS,64.2539,-15.2082,51.13,79,100,10.02,overcast clouds
30,Yumen,CN,40.2833,97.2,73.29,31,82,16.28,broken clouds
31,Chokurdakh,RU,70.6333,147.9167,46.24,62,100,6.22,overcast clouds
32,Hobart,AU,-42.8794,147.3294,47.26,75,20,8.05,few clouds
33,Punta Arenas,CL,-53.15,-70.9167,35.71,87,75,43.73,moderate rain
34,Voh,NC,-20.9667,164.7,78.98,78,100,5.03,overcast clouds
35,Colon,PA,9.3592,-79.9014,82.15,82,100,6.71,overcast clouds
36,Busselton,AU,-33.65,115.3333,58.15,76,92,12.82,overcast clouds
37,Lompoc,US,34.6391,-120.4579,91.02,76,0,17.27,clear sky
38,Vardo,NO,70.3705,31.1107,53.58,100,100,5.75,light intensity drizzle
39,Tilichiki,RU,60.4667,166.1,57.51,78,100,6.98,overcast clouds
40,Dingle,PH,10.9995,122.6711,83.57,78,16,3.2,few clouds
41,Aykhal,RU,66.0,111.5,50.77,72,51,16.15,broken clouds
42,Majene,ID,-3.5403,118.9707,79.7,82,99,6.76,overcast clouds
43,Puerto Ayora,EC,-0.7393,-90.3518,68.56,95,62,4.0,broken clouds
44,Bluff,NZ,-46.6,168.3333,46.8,69,100,9.98,overcast clouds
45,Northam,GB,51.0333,-4.2167,64.38,92,95,9.15,overcast clouds
46,Ambon,ID,-3.6954,128.1814,80.74,83,40,8.05,scattered clouds
47,Victoria,HK,22.2855,114.1577,89.65,77,97,8.99,overcast clouds
48,Bukachacha,RU,52.9833,116.9167,78.28,41,7,4.38,clear sky
49,Villanueva De La Serena,ES,38.9766,-5.7974,70.57,38,0,2.86,clear sky
50,Albany,US,42.6001,-73.9662,81.68,72,23,5.35,few clouds
51,Kapaa,US,22.0752,-159.319,84.18,82,100,17.27,moderate rain
52,Rio Grande,BR,-32.035,-52.0986,43.95,86,0,6.44,clear sky
53,Te Anau,NZ,-45.4167,167.7167,40.91,98,100,2.71,overcast clouds
54,Thompson,CA,55.7435,-97.8558,77.16,50,75,4.61,smoke
55,Hermanus,ZA,-34.4187,19.2345,51.69,77,21,2.95,few clouds
56,Tiksi,RU,71.6872,128.8694,34.93,95,100,14.58,overcast clouds
57,Lima,PE,-12.0432,-77.0282,61.07,82,26,7.94,scattered clouds
58,Port Hardy,CA,50.6996,-127.4199,60.98,77,20,13.8,few clouds
59,Nantucket,US,41.2835,-70.0995,78.91,88,0,16.11,clear sky
60,Magole,TZ,-6.3667,37.3667,65.52,90,86,2.95,overcast clouds
61,Port Alfred,ZA,-33.5906,26.891,60.55,87,100,16.2,moderate rain
62,Luderitz,NA,-26.6481,15.1594,56.03,67,0,19.42,clear sky
63,Ribeira Grande,PT,38.5167,-28.7,72.14,88,0,5.95,clear sky
64,Lerwick,GB,60.1545,-1.1494,56.28,96,100,11.77,overcast clouds
65,Namatanai,PG,-3.6667,152.4333,83.35,68,100,4.72,overcast clouds
66,Mocuba,MZ,-16.8392,36.9856,62.11,97,0,3.09,clear sky
67,Gat,IL,31.61,34.7642,82.4,74,0,2.73,clear sky
68,Ketchikan,US,55.3422,-131.6461,63.07,59,100,6.91,overcast clouds
69,Leningradskiy,RU,69.3833,178.4167,34.84,97,100,22.48,light snow
70,Longyearbyen,SJ,78.2186,15.6401,48.04,87,75,5.75,broken clouds
71,Faanui,PF,-16.4833,-151.75,77.7,67,21,6.29,few clouds
