City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Vardo,NO,70.3705,31.1107,17.58,93,20,42.57,few clouds
1,Hithadhoo,MV,-0.6,73.0833,81.1,75,100,13.67,overcast clouds
2,Bluff,NZ,-46.6,168.3333,56.01,85,6,4.29,clear sky
3,San Patricio,US,28.017,-97.5169,64.17,38,0,5.75,clear sky
4,Hilo,US,19.7297,-155.09,84.27,72,0,8.05,clear sky
5,Warmbad,NA,-28.45,18.7333,82.17,16,0,15.97,clear sky
6,Chokurdakh,RU,70.6333,147.9167,-24.88,100,96,5.41,overcast clouds
7,Vaini,TO,-21.2,-175.2,77.16,94,40,2.3,scattered clouds
8,Bani Walid,LY,31.7566,13.9942,60.55,46,4,2.15,clear sky
9,Goalpara,IN,26.1667,90.6167,55.26,78,0,4.79,clear sky
10,Rikitea,PF,-23.1203,-134.9692,77.68,72,4,9.46,clear sky
11,Ponta Do Sol,PT,32.6667,-17.1,67.12,24,10,7.85,clear sky
12,Kavieng,PG,-2.5744,150.7967,82.0,71,84,7.99,broken clouds
13,Ilulissat,GL,69.2167,-51.1,12.22,34,20,26.46,few clouds
14,Ushuaia,AR,-54.8,-68.3,46.02,87,75,24.16,light rain
15,Butaritari,KI,3.0707,172.7902,80.1,82,59,15.88,light rain
16,Udachnyy,RU,66.4167,112.4,5.29,90,100,12.1,overcast clouds
17,Guerrero Negro,MX,27.9769,-114.0611,76.32,28,10,4.38,clear sky
18,Talara,PE,-4.5772,-81.2719,83.16,57,0,17.27,clear sky
19,Mataura,NZ,-46.1927,168.8643,61.5,75,46,2.71,scattered clouds
20,Albany,US,42.6001,-73.9662,31.37,56,94,7.94,overcast clouds
21,Atuona,PF,-9.8,-139.0333,77.63,76,100,13.8,light rain
22,Cockburn Town,TC,21.4612,-71.1419,82.36,65,40,14.97,scattered clouds
23,Latung,PH,5.5,120.8833,80.62,77,100,6.06,heavy intensity rain
24,Asau,RO,46.4333,26.4,36.52,90,27,2.24,scattered clouds
25,New Norfolk,AU,-42.7826,147.0587,80.1,54,100,3.27,overcast clouds
26,Xuzhou,CN,34.1805,117.1571,29.62,45,40,4.7,scattered clouds
27,Castro,BR,-24.7911,-50.0119,77.14,67,14,3.42,few clouds
28,Cherskiy,RU,68.75,161.3,-8.77,99,100,5.08,overcast clouds
29,Labrea,BR,-7.2586,-64.7981,85.87,65,100,1.66,overcast clouds
30,Sao Sebastiao Do Paraiso,BR,-20.9169,-46.9914,71.33,81,65,7.96,broken clouds
31,Touros,BR,-5.1989,-35.4608,80.94,68,88,14.63,overcast clouds
32,Flinders,AU,-34.5833,150.8552,70.38,76,19,7.29,few clouds
33,Mount Pleasant,US,32.7941,-79.8626,54.12,29,0,3.44,clear sky
34,Haines Junction,CA,60.7522,-137.5108,26.29,96,100,1.68,overcast clouds
35,Busselton,AU,-33.65,115.3333,49.98,81,0,10.31,clear sky
36,Tezu,IN,27.9167,96.1667,53.78,62,52,4.07,broken clouds
37,Provideniya,RU,64.3833,-173.3,8.71,72,20,26.84,few clouds
38,Venado Tuerto,AR,-33.7456,-61.9688,92.07,19,83,9.48,broken clouds
39,Vao,NC,-22.6667,167.4833,78.13,85,100,19.69,light rain
40,Olafsvik,IS,64.8945,-23.7142,25.68,67,19,24.79,few clouds
41,Zhongxing,CN,33.7039,118.6792,31.77,58,100,8.28,overcast clouds
42,Longyearbyen,SJ,78.2186,15.6401,31.84,74,40,27.63,light snow
43,Bethel,US,41.3712,-73.414,33.55,55,100,9.22,overcast clouds
44,Walvis Bay,NA,-22.9575,14.5053,64.09,88,0,12.66,clear sky
45,Cape Town,ZA,-33.9258,18.4232,70.09,68,0,9.22,clear sky
46,Jamestown,US,42.097,-79.2353,25.02,84,100,9.22,overcast clouds
47,Fortuna,US,40.5982,-124.1573,56.66,88,75,4.61,broken clouds
48,Pevek,RU,69.7008,170.3133,-9.72,99,100,2.62,overcast clouds
49,Gat,IL,31.61,34.7642,55.4,71,95,4.18,overcast clouds
50,Lagoa,PT,39.05,-27.9833,60.39,92,100,24.85,light rain
51,Beloha,MG,-25.1667,45.05,74.77,82,43,0.43,light rain
52,Verkhovazhye,RU,60.7472,42.0465,10.47,91,100,8.86,overcast clouds
53,Port Elizabeth,ZA,-33.918,25.5701,69.31,93,40,19.57,scattered clouds
54,Hualmay,PE,-11.0964,-77.6139,74.25,73,41,10.25,scattered clouds
55,Mocorito,MX,25.4833,-107.9167,85.26,13,0,4.83,clear sky
56,Lebu,CL,-37.6167,-73.65,60.24,58,96,21.14,overcast clouds
57,Punta Arenas,CL,-53.15,-70.9167,51.82,50,20,33.38,few clouds
58,Kaka,TM,37.3482,59.6143,41.38,66,35,2.33,scattered clouds
59,Tasiilaq,GL,65.6145,-37.6368,3.36,52,0,5.28,clear sky
60,Sitka,US,57.0531,-135.33,39.09,87,75,0.0,broken clouds
61,Hermanus,ZA,-34.4187,19.2345,66.79,85,100,7.76,overcast clouds
62,Mar Del Plata,AR,-38.0023,-57.5575,84.83,44,0,13.8,clear sky
63,Naples,IT,40.8333,14.25,59.86,78,40,2.3,scattered clouds
64,Leh,IN,34.1667,77.5833,9.84,59,1,2.95,clear sky
65,Barrow,US,71.2906,-156.7887,-5.78,77,0,24.16,clear sky
66,Thompson,CA,55.7435,-97.8558,-12.84,77,75,6.91,broken clouds
67,Dikson,RU,73.5069,80.5464,-20.78,98,38,8.05,scattered clouds
68,Hobart,AU,-42.8794,147.3294,80.46,41,0,17.27,clear sky
69,Alyangula,AU,-13.8483,136.4192,82.15,80,100,13.18,overcast clouds
70,Kodiak,US,57.79,-152.4072,35.11,69,100,11.5,overcast clouds
71,Havoysund,NO,70.9963,24.6622,23.23,72,85,22.86,overcast clouds
72,Aklavik,CA,68.2191,-135.0107,-22.0,76,75,5.75,broken clouds
73,Luanda,AO,-8.8368,13.2343,78.13,81,13,12.15,few clouds
74,Lashio,MM,22.9333,97.75,49.59,96,8,0.83,clear sky
75,Lannion,FR,48.75,-3.4167,51.01,88,100,16.11,overcast clouds
76,Saint-Philippe,RE,-21.3585,55.7679,76.59,82,38,10.51,light rain
77,Churapcha,RU,62.0025,132.4325,-28.97,100,100,2.42,overcast clouds
78,Klaksvik,FO,62.2266,-6.589,40.12,66,100,34.49,overcast clouds
79,Avera,US,33.194,-82.5271,54.55,50,1,3.89,clear sky
80,Fairbanks,US,64.8378,-147.7164,2.61,74,75,6.91,broken clouds
81,Ketchikan,US,55.3422,-131.6461,39.67,87,40,12.66,scattered clouds
82,Lubben,DE,51.95,13.9,38.25,89,71,9.24,broken clouds
83,Iqaluit,CA,63.7506,-68.5145,11.93,67,75,3.44,broken clouds
84,Diofior,SN,14.1833,-16.6667,73.45,58,100,14.9,overcast clouds
85,Lavrentiya,RU,65.5833,-171.0,-4.85,94,7,12.33,clear sky
86,Sarangani,PH,5.4033,125.4636,78.93,80,100,3.06,overcast clouds
87,Macklin,CA,52.3334,-109.9348,16.14,95,100,11.41,snow
88,Chifeng,CN,42.2683,118.9636,7.88,58,7,6.82,clear sky
89,Port Alfred,ZA,-33.5906,26.891,67.17,92,0,3.0,clear sky
90,Ancud,CL,-41.8697,-73.8203,59.29,54,13,10.92,few clouds
91,Saint-Pierre,RE,-21.3393,55.4781,79.92,73,0,8.05,clear sky
92,Isangel,VU,-19.55,169.2667,84.31,74,98,4.61,overcast clouds
93,Dubbo,AU,-32.25,148.6167,66.33,82,0,9.22,clear sky
94,Opopeo,MX,19.4,-101.6,61.66,40,65,6.35,broken clouds
95,Hami,CN,42.8,93.45,17.94,46,0,2.1,clear sky
96,Palmer,US,42.1584,-72.3287,34.63,47,20,5.75,few clouds
97,Tuktoyaktuk,CA,69.4541,-133.0374,-27.4,68,40,4.61,scattered clouds
98,Grindavik,IS,63.8424,-22.4338,21.67,86,20,10.36,few clouds
99,Monforte De Lemos,ES,42.5216,-7.5142,50.58,94,3,2.28,clear sky
100,Bobingen,DE,48.2667,10.8333,38.07,93,40,2.3,scattered clouds
101,Gwadar,PK,25.1216,62.3254,74.16,68,96,4.12,overcast clouds
102,Avarua,CK,-21.2078,-159.775,82.45,78,20,4.61,few clouds
