City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Hithadhoo,MV,81.1,overcast clouds,-0.6,73.0833,Scoop Guest House
3,San Patricio,US,64.17,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
4,Hilo,US,84.27,clear sky,19.7297,-155.09,Hilo Hawaiian Hotel
7,Vaini,TO,77.16,scattered clouds,-21.2,-175.2,Keleti Beach Resort
8,Bani Walid,LY,60.55,clear sky,31.7566,13.9942,القطانشة ستي
10,Rikitea,PF,77.68,clear sky,-23.1203,-134.9692,People ThankYou
11,Ponta Do Sol,PT,67.12,clear sky,32.6667,-17.1,Hotel do Campo
12,Kavieng,PG,82.0,broken clouds,-2.5744,150.7967,Nusa Island Retreat
15,Butaritari,KI,80.1,light rain,3.0707,172.7902,Isles Sunset Lodge
17,Guerrero Negro,MX,76.32,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
18,Talara,PE,83.16,clear sky,-4.5772,-81.2719,Hostal Oro Negro
19,Mataura,NZ,61.5,scattered clouds,-46.1927,168.8643,Ellie's Villa
21,Atuona,PF,77.63,light rain,-9.8,-139.0333,Villa Enata
22,Cockburn Town,TC,82.36,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
25,New Norfolk,AU,80.1,overcast clouds,-42.7826,147.0587,The Shingles Riverside Cottages
27,Castro,BR,77.14,few clouds,-24.7911,-50.0119,CHACARA BAILLY
30,Sao Sebastiao Do Paraiso,BR,71.33,broken clouds,-20.9169,-46.9914,BM Hotel
31,Touros,BR,80.94,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
32,Flinders,AU,70.38,few clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
39,Vao,NC,78.13,light rain,-22.6667,167.4833,Hotel Kou-Bugny
45,Cape Town,ZA,70.09,clear sky,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
50,Lagoa,PT,60.39,light rain,39.05,-27.9833,Casa Das Faias
53,Port Elizabeth,ZA,69.31,scattered clouds,-33.918,25.5701,39 On Nile Guest House
54,Hualmay,PE,74.25,scattered clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
56,Lebu,CL,60.24,overcast clouds,-37.6167,-73.65,Hostal Las Lilas
61,Hermanus,ZA,66.79,overcast clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
62,Mar Del Plata,AR,84.83,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
68,Hobart,AU,80.46,clear sky,-42.8794,147.3294,St Ives Hobart Accommodation Tasmania
