City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Lompoc,US,2022-12-22 22:31:20,34.6391,-120.4579,70.84,59,75,4.61
1,Thompson,CA,2022-12-22 22:33:21,55.7435,-97.8558,-7.44,71,75,11.5
2,Barrow,US,2022-12-22 22:33:22,71.2906,-156.7887,14.02,85,100,21.85
3,Tasiilaq,GL,2022-12-22 22:33:23,65.6145,-37.6368,15.96,68,2,6.24
4,Albany,US,2022-12-22 22:30:31,42.6001,-73.9662,34.59,89,100,3.0
5,Jamestown,US,2022-12-22 22:29:08,42.097,-79.2353,40.59,75,100,6.91
6,Malartic,CA,2022-12-22 22:30:24,48.1335,-78.1328,21.31,91,100,10.47
7,Berbera,SO,2022-12-22 22:30:17,10.4396,45.0143,74.66,84,29,5.35
8,Mar Del Plata,AR,2022-12-22 22:33:32,-38.0023,-57.5575,74.82,88,81,32.99
9,Orangeburg,US,2022-12-22 22:33:32,33.4918,-80.8557,46.94,92,85,4.0
10,Saint-Orens-De-Gameville,FR,2022-12-22 22:33:33,43.554,1.5341,59.23,82,0,6.91
11,Gat,IL,2022-12-22 22:32:04,31.61,34.7642,59.77,100,23,5.61
12,Dikson,RU,2022-12-22 22:33:35,73.5069,80.5464,-9.78,95,100,13.98
13,Valparaiso,CL,2022-12-22 22:33:35,-33.0393,-71.6273,80.24,53,0,13.8
14,Saint-Philippe,RE,2022-12-22 22:33:36,-21.3585,55.7679,74.79,80,88,13.02
15,Lebu,CL,2022-12-22 22:33:36,-37.6167,-73.65,60.01,71,75,12.41
16,Iqaluit,CA,2022-12-22 22:30:13,63.7506,-68.5145,6.53,84,100,2.3
17,Cape Town,ZA,2022-12-22 22:33:08,-33.9258,18.4232,67.12,76,0,13.8
18,Leningradskiy,RU,2022-12-22 22:29:18,69.3833,178.4167,4.95,69,0,2.77
19,Vaini,TO,2022-12-22 22:33:37,-21.2,-175.2,86.16,74,40,9.22
20,Fairbanks,US,2022-12-22 22:33:08,64.8378,-147.7164,-14.4,72,0,0.0
21,Victoria,HK,2022-12-22 22:30:29,22.2855,114.1577,62.26,39,7,15.99
22,Bambous Virieux,MU,2022-12-22 22:33:38,-20.3428,57.7575,74.21,83,20,6.91
23,Caravelas,BR,2022-12-22 22:33:38,-17.7125,-39.2481,73.08,95,100,9.84
24,Gorontalo,ID,2022-12-22 22:33:39,0.5412,123.0595,78.31,91,97,1.54
25,Puerto Ayora,EC,2022-12-22 22:33:39,-0.7393,-90.3518,78.76,94,53,1.01
26,East London,ZA,2022-12-22 22:33:39,-33.0153,27.9116,71.87,66,1,12.37
27,New Norfolk,AU,2022-12-22 22:33:40,-42.7826,147.0587,64.92,73,68,0.94
28,Georgetown,MY,2022-12-22 22:33:40,5.4112,100.3354,78.89,92,20,5.75
29,Zhigansk,RU,2022-12-22 22:33:42,66.7697,123.3711,-35.09,98,74,3.65
30,Salalah,OM,2022-12-22 22:33:42,17.0151,54.0924,73.49,88,75,4.61
31,Ucluelet,CA,2022-12-22 22:33:42,48.9329,-125.5528,33.1,57,100,14.16
32,Tiksi,RU,2022-12-22 22:33:43,71.6872,128.8694,-14.22,94,76,5.57
33,Jiuquan,CN,2022-12-22 22:33:43,39.7432,98.5174,17.26,57,6,4.09
34,Ushuaia,AR,2022-12-22 22:33:43,-54.8,-68.3,65.82,72,40,5.75
35,Binga,ZW,2022-12-22 22:33:44,-17.6203,27.3414,74.93,63,100,5.08
36,Tres Arroyos,AR,2022-12-22 22:31:59,-38.3739,-60.2798,89.17,22,100,7.16
37,Matamoros,MX,2022-12-22 22:29:29,25.5333,-103.25,78.91,16,0,0.0
38,Rikitea,PF,2022-12-22 22:33:44,-23.1203,-134.9692,78.3,67,12,4.32
39,Bluff,NZ,2022-12-22 22:33:45,-46.6,168.3333,59.07,80,64,9.1
40,Gander,CA,2022-12-22 22:33:45,48.9682,-54.5906,24.93,85,40,6.91
41,Asau,RO,2022-12-22 22:33:45,46.4333,26.4,25.72,86,100,6.55
42,Atuona,PF,2022-12-22 22:33:46,-9.8,-139.0333,78.87,79,11,15.05
43,Codajas,BR,2022-12-22 22:33:46,-3.8367,-62.0569,75.94,90,71,3.83
44,Ribeira Grande,PT,2022-12-22 22:33:47,38.5167,-28.7,57.78,81,100,8.01
45,Kruisfontein,ZA,2022-12-22 22:33:47,-34.0033,24.7314,66.2,74,23,9.08
46,Chokurdakh,RU,2022-12-22 22:33:48,70.6333,147.9167,-14.35,99,6,1.86
47,Marzuq,YE,2022-12-22 22:34:48,14.4,46.4667,59.95,68,2,3.24
48,Punta Arenas,CL,2022-12-22 22:34:48,-53.15,-70.9167,53.71,66,75,34.52
49,North Bend,US,2022-12-22 22:34:49,43.4065,-124.2243,51.24,94,100,8.05
50,Kroya,ID,2022-12-22 22:34:49,-7.6331,109.2461,76.41,86,99,8.3
51,Gimli,CA,2022-12-22 22:34:50,50.6336,-96.9907,-3.98,71,100,12.66
52,Korla,CN,2022-12-22 22:34:51,41.7597,86.1469,21.7,41,3,2.42
53,Pouembout,NC,2022-12-22 22:34:51,-21.1333,164.9,84.76,66,8,1.74
54,Yuli,NG,2022-12-22 22:34:52,9.6989,10.2744,66.33,31,65,6.64
55,Port Alfred,ZA,2022-12-22 22:34:53,-33.5906,26.891,70.18,80,1,5.99
56,Abbeville,FR,2022-12-22 22:32:30,50.1,1.8333,54.25,93,99,15.9
57,Yulara,AU,2022-12-22 22:34:53,-25.2406,130.9889,69.76,79,100,12.37
58,Constitucion,CL,2022-12-22 22:34:54,-35.3333,-72.4167,61.72,71,94,16.04
59,Padang,ID,2022-12-22 22:30:00,-0.9492,100.3543,77.32,81,100,3.4
60,Tuktoyaktuk,CA,2022-12-22 22:32:46,69.4541,-133.0374,-7.6,77,100,12.66
61,Kavieng,PG,2022-12-22 22:34:54,-2.5744,150.7967,83.01,78,61,10.13
62,Butaritari,KI,2022-12-22 22:34:55,3.0707,172.7902,81.45,78,95,20.0
63,Arraial Do Cabo,BR,2022-12-22 22:34:37,-22.9661,-42.0278,73.36,83,75,9.22
64,Omboue,GA,2022-12-22 22:34:55,-1.5746,9.2618,77.43,86,100,6.76
65,Faanui,PF,2022-12-22 22:34:56,-16.4833,-151.75,80.62,78,97,15.43
66,Provideniya,RU,2022-12-22 22:34:56,64.3833,-173.3,26.71,54,0,40.26
67,Kodiak,US,2022-12-22 22:33:37,57.79,-152.4072,36.91,87,100,36.82
68,Liverpool,GB,2022-12-22 22:33:09,53.4106,-2.9779,44.53,98,75,3.44
69,Nouakchott,MR,2022-12-22 22:34:58,18.0858,-15.9785,69.73,30,0,13.56
70,Fortuna,US,2022-12-22 22:34:58,40.5982,-124.1573,58.93,89,100,13.8
71,Quatre Cocos,MU,2022-12-22 22:34:58,-20.2078,57.7625,74.08,75,100,8.34
