City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Letterkenny,IE,2022-07-17 00:42:14,54.95,-7.7333,60.46,97,100,3.02
1,Virden,US,2022-07-17 00:42:14,39.5009,-89.7679,84.25,95,99,10.94
2,Rikitea,PF,2022-07-17 00:42:14,-23.1203,-134.9692,72.28,73,100,13.49
3,Kapaa,US,2022-07-17 00:38:26,22.0752,-159.319,85.98,76,100,18.41
4,Berlevag,NO,2022-07-17 00:42:15,70.8578,29.0864,53.4,87,100,17.27
5,Victoria,HK,2022-07-17 00:42:15,22.2855,114.1577,89.19,78,100,11.99
6,New Norfolk,AU,2022-07-17 00:42:15,-42.7826,147.0587,53.1,82,49,3.0
7,Ushuaia,AR,2022-07-17 00:41:34,-54.8,-68.3,38.86,70,20,4.61
8,Medina,SA,2022-07-17 00:37:34,24.4686,39.6142,93.63,21,0,8.05
9,Chuy,UY,2022-07-17 00:42:16,-33.6971,-53.4616,47.37,93,100,15.5
10,Camana,PE,2022-07-17 00:42:16,-16.6228,-72.7111,59.68,82,96,11.18
11,Tak,TH,2022-07-17 00:42:17,16.5833,98.8333,73.8,91,88,2.59
12,Te Anau,NZ,2022-07-17 00:42:17,-45.4167,167.7167,42.73,96,100,6.58
13,Pavlodar,KZ,2022-07-17 00:42:17,52.3,76.95,66.0,88,0,4.47
14,Kodiak,US,2022-07-17 00:42:18,57.79,-152.4072,60.31,82,100,9.22
15,Vila Franca Do Campo,PT,2022-07-17 00:42:18,37.7167,-25.4333,72.19,93,21,6.4
16,Dhidhdhoo,MV,2022-07-17 00:38:44,6.8833,73.1,81.39,79,62,11.27
17,Busselton,AU,2022-07-17 00:42:18,-33.65,115.3333,57.79,70,100,11.56
18,Mayo,US,2022-07-17 00:42:19,38.8876,-76.5119,75.31,93,100,6.91
19,Qaanaaq,GL,2022-07-17 00:42:19,77.484,-69.3632,49.59,74,13,6.06
20,Puerto Ayora,EC,2022-07-17 00:42:20,-0.7393,-90.3518,68.56,93,36,7.0
21,Vaini,TO,2022-07-17 00:42:20,-21.2,-175.2,80.76,89,20,6.91
22,Barrow,US,2022-07-17 00:41:25,71.2906,-156.7887,44.62,76,100,14.97
23,Key Largo,US,2022-07-17 00:38:49,25.0865,-80.4473,83.98,73,92,8.12
